Unet_vgg16_test,Linknet_vgg16_test,FPN_vgg16_test,Unet_resnet34_test,Linknet_resnet34_test,FPN_resnet34_test,Unet_resnet101_test,Linknet_resnet101_test,FPN_resnet101_test,ensemble_mlr_9_dtts,ensemble_mlr_2nd_layer_9_dtts,decision_template_9_dtts
8.636191445,12.487743533,6.352539299,6.941095229,6.401027423,5.567114973,8.053328479,5.454018051,4.731685279,5.718779973,4.901970078,11.617441726
15.887109819,15.624970547,12.243858276,13.08631053,14.355260508,10.057005879,11.658338342,14.215007798,11.433857975,11.778338735,9.740813365,9.167422208
22.759875604,22.714914977,18.925804535,17.221913583,18.573265637,13.945357533,18.566593026,26.42562617,18.491385333,12.309347347,12.21631179,32.041823786
17.840165085,5.775929652,8.784562689,6.708671445,4.160184274,5.091898415,5.657975404,4.719134305,3.451483723,5.027273508,3.419085936,3.794649335
0.297674644,0.297476866,0.279318805,0.286323218,0.31216314,0.26735509,0.384502644,1.267289379,0.409246819,0.26840185,0.270879836,0.27304736
5.5,1.43333333333333,1.93333333333333,1.73333333333333,1.8,1.73333333333333,1.83333333333333,1.73333333333333,1.8,1.66666666666667,1.63333333333333,1.66666666666667
3.33333333333333,3.76666666666667,2.66666666666667,1.66666666666667,1.7,1.66666666666667,1.76666666666667,1.63333333333333,1.76666666666667,1.6,1.53333333333333,1.56666666666667
